,listing_id,closest_school,dist_closest_school,ave_dist_3_schools
0,14303265,Eltham College - King Street Campus,708.9218222031402,803.8182931246184
1,16089992,Patterson Lakes Primary School,675.0734348371693,1585.8676571085282
2,15279569,Craigieburn Primary School,474.38044483749024,861.5665557607557
3,16089977,Burnside Primary School,498.0229083296494,647.4613527919935
4,16089972,Hester Hornbrook Academy - City Campus,498.0975490482861,669.6945986938898
5,14974393,Xavier College - Burke Hall,657.0666481312217,673.7965761435722
6,16089969,Warragul Regional College,508.7656140406225,934.2940962149356
7,15782474,Eltham College - King Street Campus,205.7756528112454,378.8771370563663
8,16089960,Kingswood College,893.219494196178,983.2375321455125
9,16089942,Truganina South Primary School,1654.107673071965,1950.0122785821422
10,12805722,Lyndhurst Primary School,343.4063262521132,900.4488728673922
11,16089938,Mount View Primary School,913.9321404333284,1622.0410206021745
12,16089933,Ringwood North Primary School,584.9807161038142,627.6095414021643
13,15478015,Spensley Street Primary School,739.4445377772306,941.7297286477009
14,16089930,Ramlegh Park Primary School,870.751590990909,1595.0474838874027
15,16089923,Newcomb Primary School,311.3094209351306,524.9192899842016
16,16089922,St Margaret Mary's School,822.1829218426678,931.2821408023533
17,16089919,Ringwood North Primary School,584.9807161038142,627.6095414021643
18,16089911,Yallourn North Primary School,511.8489086091376,3828.5046535727233
19,16089894,Ringwood North Primary School,584.9807161038142,627.6095414021643
20,16089889,Merri Creek Primary School,172.4086691287669,379.7743256690297
21,16089886,Rivercrest Christian College,2339.887215845454,2644.854917381411
22,16089883,St Timothy's School,201.1538543006728,598.9035144081237
23,15900569,Valkstone Primary School,562.1120088172786,803.8667890508494
24,16089871,Sunbury College,585.1931466023824,612.6901976904088
25,16089864,St Agnes' School,779.808201407942,938.2264103671778
26,16089863,Stawell Primary School,818.7837770385263,1562.6742517344962
27,16089860,St Bridget's School,352.7935579446175,748.3346479533706
28,16089857,Collingwood English Language School,188.42553786773223,467.05071124856977
29,16089852,Ringwood North Primary School,584.9807161038142,627.6095414021643
30,16089846,Karingal Heights Primary School,155.3080859205502,439.8683428272113
31,16089842,Hester Hornbrook Academy,488.68611917475545,558.3803785232325
32,16089841,Hester Hornbrook Academy - Sunshine Campus,421.2011712162908,613.9325695701274
33,16089817,Ormond Primary School,404.3309392666404,567.1247293654317
34,16089812,Roxburgh Rise Primary School,95.66312705030528,836.9847861812437
35,16089810,St Joseph's School,481.5152693818064,996.893558581875
36,16089809,Docklands Primary School,976.0559936766804,1171.6397990035166
37,16089784,Fountain Gate Primary School,1328.7161836536286,1549.22606291945
38,16089782,Boroondara Park Primary School,562.6828425675872,1162.551107650975
39,16089778,Altona Primary School,314.6631537665472,613.2011240357175
40,16089775,Canadian Lead Primary School,749.014387022832,1742.8664561927924
41,16089766,Alamanda K-9 College,270.4126603657384,1614.731495025396
42,16089765,Glen Waverley Secondary College,176.35383013122538,483.50991945710683
43,14955995,Darul Ulum College of Victoria,394.3235799830268,663.0088841051087
44,16089755,St Anthony's School,271.56259787334136,435.11577836432707
45,16089752,Our Lady of Perpetual Succour School,68.6586743470777,611.3442212611582
46,16089749,Mirripoa Primary School,749.3640397851074,1112.5107028939
47,15663033,Moe Primary School,748.2004740856999,1494.3850306751594
48,16089744,Moe Primary School,748.2004740856999,1494.3850306751594
49,16089739,Kamaruka,314.6634032324738,387.37110114915686
50,14267364,Ramlegh Park Primary School,2054.019383687324,2798.149288572091
51,16089738,Alia College,819.1143422245418,908.9549198942864
52,16089734,The King David School - Junior School,634.4883757475283,755.3780890968355
53,16089732,Southern Cross Grammar,394.0391411245536,592.1184158164621
54,16089730,Reservoir Views Primary School,424.2518249556083,678.5920658023311
55,16089729,Eltham College - Lonsdale Street Campus,223.25727799235315,291.75635812738415
56,16089728,Port Melbourne Primary School,1493.2430115041334,1677.279510956493
57,16089721,Mackellar Primary School,464.5627807066593,1184.4138899619152
58,15526167,Djerriwarrh Community & Education Services - Djerriwarrh Community College,190.6773083051079,712.9202477591556
59,16089712,St Robert's School,486.695406816668,569.660612121185
60,16089711,Emmanuel College - Notre Dame Campus,562.172361334993,760.9344010329575
61,16089710,Windsor Primary School,399.62253412099386,413.2727612762867
62,16089707,St John's School,414.1389406880415,706.9904741656707
63,16089702,Toorloo Arm Primary School,2194.032808459165,4422.32979485285
64,16089700,St Kilda Park Primary School,216.13361885859425,742.9685999913494
65,16089698,Camberwell High School,177.5896243096037,562.9949255767898
66,16089697,Camberwell High School,177.5896243096037,562.9949255767898
67,16089696,Coatesville Primary School,468.3860739438243,791.7096608939088
68,16089692,Thornbury Primary School,143.72710568938814,409.37675166889045
69,16089689,Eltham College - Lonsdale Street Campus,145.95072840846314,443.0020686259439
70,16089686,Glen Waverley Primary School,493.9829750184325,573.207543421076
71,16089685,Geelong East Primary School,327.2221976603799,586.66034506744
72,16089684,Newport Gardens Primary School,1148.38645265598,1303.1883948673376
73,16089683,Yarra Primary School,527.0098925094155,624.0818442675795
74,15108007,Bacchus Marsh College,1558.8284473896465,1658.1606779531392
75,16089675,Gisborne Primary School,507.285189406318,838.1956193376031
76,16089674,Melton Secondary College,277.69341122229804,416.1293326535769
77,16089667,St John the Apostle Catholic Primary School,936.5721203859404,1359.5780054992358
78,16089665,Lyndale Greens Primary School,524.0594874707789,794.335940941431
79,16089661,Luther College,334.84217931955703,555.52524936474
80,16089655,Ballarat North Primary School,258.48048494953986,918.4838526696691
81,16089654,SEDA College (Victoria),277.73610349811935,700.553332913294
82,16089652,St Leonard's School,55.512818655702326,714.5050267015946
83,16089646,Winchelsea Primary School,609.5255750281525,22436.04955048881
84,16089645,Luther College,334.84217931955703,555.52524936474
85,16089644,Carnegie Primary School,383.3466854067704,666.2355795379802
86,16089643,Harcourt Valley Primary School,467.133937761947,4992.361524122351
87,15327699,St Peter's School,475.6524304738649,887.3061102582669
88,16089637,"Preshil, The Margaret Lyttle Memorial School - Blackhall-Kalimna Preshil Senior School",333.98842413357465,448.6287407840162
89,16089636,Lumen Christi School,926.619147658009,1116.9545057901012
90,16089630,Warrnambool East Primary School,519.3014578764238,1223.7048319199491
91,16089624,Croydon Primary School,909.772543987194,1364.8547215680821
92,16089623,Warrnambool East Primary School,1167.8327208384826,1484.4737214658708
93,14682565,Glenferrie Primary School,304.8426678215299,480.83418427289945
94,16089620,Hillcrest Christian College,1059.1778425825253,1256.740425779729
95,16089612,Our Lady of Lourdes School,525.978158042856,927.808511152115
96,16089611,Koonung Secondary College,539.6425140861695,686.433952956531
97,16089610,St Thomas More School,1075.5718038797795,1231.4484897497505
98,16089605,Wheelers Hill Primary School,362.2158016873275,719.0018039432738
99,16089607,Highview College,316.937163442136,916.1525269590353
100,16089604,St Joseph's School,740.5994154806533,1392.42263643306
101,16089601,Carlton Primary School,354.2492209182231,568.2458339759233
102,16089600,St Joseph's School,126.53514804489916,258.35615099000574
103,16089599,Good Shepherd School,472.05574503637376,656.6918041849011
104,16089597,Lumen Christi School,183.31328896348455,613.9128135038007
105,15809807,River City Christian College,1023.1002534637984,1269.199652803708
106,16089581,St Stephen's School,539.3196010826088,651.2445854206205
107,16089567,St Anthony's School,2170.962236939365,2324.3219025519993
108,16089565,Moe (South Street) Primary School,194.7459831553193,1056.9261547829822
109,16089561,St John Vianney's School,152.47727971472125,337.7206597910171
110,16089558,Ignatius Learning Centre,547.9480667870337,619.821742307382
111,14353719,St Pius X School,775.2132564381237,1205.1787451297869
112,16089553,Foster Primary School,81.12167839673137,381.0597597240602
113,16089546,Riverbend Primary School,48.53448601625546,922.9960374777711
114,16089542,Ballarat Primary School (Dana Street),306.8379408041572,463.1166029427397
115,16089538,Matthew Flinders Girls Secondary College,317.96669849708684,564.1732621938644
116,16089534,St Bede's School,823.056586023598,1006.4292388119657
117,16089533,St John the Apostle Catholic Primary School,746.5271867746818,944.2742213522541
118,16089531,Garrang Wilam Primary School,2172.3565594298,2692.3209723416094
119,16089530,Bialik College,749.9172959995369,876.2367144287182
120,16089525,Weeroona College Bendigo,588.5949468808902,899.5848403839251
121,16089524,Eltham College - Lonsdale Street Campus,213.0993605294077,330.1381631715512
122,16089523,Sacred Heart School,332.4135771783296,419.9583691574672
123,16089515,River City Christian College,1725.1248242462564,1916.7202794884195
124,16089514,Carrum Primary School,565.4199249739074,1420.8594094143093
125,16089504,Emmaus Catholic Primary School,407.6173469326712,472.42822186142666
126,16089500,Tarwin Lower Primary School,3550.0714542143764,15659.488643441326
127,15860293,Montague Continuing Education Centre,57.05491458599998,390.29751262162563
128,16089499,Maharishi School of the Age of Enlightenment,661.7246498372346,752.0985662298305
129,16089493,St Joseph's School,187.2739841797961,360.1628872187251
130,16089481,Doxa School Bendigo,349.50965188202684,599.3384565069961
131,16089480,Loreto Mandeville Hall,355.1187059704821,381.10732890176996
132,8199821,Yarraville West Primary School,181.3041173950976,309.2830327608852
133,16089463,Wodonga Middle Years College,1177.32876468127,1522.4939545478794
134,16089462,St Monica's Primary School,705.2848198974609,798.9713408107694
135,16089458,Gilson College - Mernda Campus,568.8861448661751,1179.0053251450943
136,16089456,Hester Hornbrook Academy - Braybrook Campus,233.62146797041348,434.9220757067869
137,16089454,Our Lady of Good Counsel School,254.41485807807985,434.57644108184223
138,16089453,Lumen Christi School,2168.560208210192,2509.634329707199
139,16089447,Cranbourne West Primary School,150.54701576009353,938.162932001887
140,16089444,Cheltenham Primary School,524.4545079294502,758.6956977821895
141,16089443,Melbourne Indigenous Transition School,322.03984162387013,384.68393252701316
142,16089439,Ramlegh Park Primary School,941.9584341488502,1434.3899834165916
143,16089440,Malvern Central School,447.6678791009966,597.4209596598799
144,14781252,Glendal Primary School,518.5982365991006,779.3951379147758
145,16089438,Corpus Christi School,178.24955204645738,577.389213648704
146,16089436,Brunswick South West Primary School,462.5224307988019,974.7989198967249
147,16089433,St James' School,450.12033417627794,530.288232505685
148,16089432,St Mary’s College Melbourne - Presentation Campus,297.9824993090751,306.3937775147103
149,16089431,MacKillop Specialist School - MacKillop Education Caulfield,554.9932099699847,561.5752857798304
150,16089428,Ivanhoe Girls' Grammar School,628.9107551668942,706.8189157850144
151,16089425,Weeden Heights Primary School,261.3669011381705,401.0986510745394
152,16089422,Eltham College - Lonsdale Street Campus,463.3611599786358,582.3883257058847
153,16089421,Trinity Catholic Primary School,569.2227766081927,853.8715715017576
154,16089419,Eltham College - Lonsdale Street Campus,370.14344867636726,538.2095914851561
155,15034289,The King David School - Junior School,459.9890340703748,634.6971145165243
156,16089413,SEDA College (Victoria) - AFL - Clayton,377.42485740184776,719.4417127413996
157,16089407,St Thomas More School,1339.9045736395128,1500.4794069988018
158,16089405,St Michael's School,212.01083253468744,577.4569588494301
159,9046818,Big Hill Primary School,2132.4745179795564,2252.955053387619
160,16089402,Yarra Primary School,200.97513828178276,286.9744579164812
161,16089401,Melbourne Girls Grammar - Morris Hall Campus,521.0959131398175,653.8196552269009
162,16089398,St John the Baptist School,1005.7938481546267,1080.94338505263
163,16089385,Flemington Primary School,589.8732879410107,745.0982563091278
164,16089376,Point Cook Senior Secondary College,80.58807717400138,510.37342960580526
165,16089377,Kurunjang Primary School,636.3886032164182,851.9774038145462
166,16089374,Eltham College - Lonsdale Street Campus,132.6662987018676,428.95138590857795
167,16089370,Eltham College - King Street Campus,739.4596014889719,832.9980911690068
168,16089367,Geelong High School,266.25342413833533,826.3869024955387
169,16089366,Apollo Parkways Primary School,410.6221352368062,1246.6676239229673
170,16089358,Templestowe Valley Primary School,422.0050989387364,1031.6870343666187
171,16089357,Pakenham Hills Primary School,406.2748329262193,1800.6147672180498
172,16089356,Wilandra Rise Primary School,819.1139627602562,953.4257306426629
173,16089352,Templestowe Park Primary School,841.4286230521893,1277.1878921167142
174,16089348,Kamaruka - Primary Campus,646.8686811838974,768.0164985939446
175,16089349,Toorak Primary School,297.2484282535276,521.1574739115337
176,16089347,Ascot Vale West Primary School,885.6238756139113,982.7860506491534
177,16089346,Strathmore North Primary School,259.4174067438647,750.1154719089185
178,16089345,Eltham College - Lonsdale Street Campus,380.21833180359033,607.5632504424943
179,15489513,Wesley College,355.58047870081094,513.2454878188136
180,15615638,Yuille Park P-8 Community College,1128.2695234993582,1598.3605388171984
181,16089343,Glenferrie Primary School,304.8426678215299,480.83418427289945
182,16036637,OneSchool Global Vic - Swan Hill Centre,572.9208431315909,711.4031587905947
183,16089327,Tullamarine Primary School,405.86732835873823,1393.7245814156074
184,16089325,Kambrya College,369.6895589801176,720.5823504184677
