Suburb,Local Government Area,Year ending,Alleged Offender Incident Rate,Alleged Offender Incidents,Criminial Incident Rate,Family Incident Count,Family Incident Rate,Incidents Recorded,Offence Count,Offence Rate,Victim Reports,Victimisation Rate
Abbeyard,ALPINE,March,"1,359.60",167,"2,385.40",,,293,390,"3,175.10",144,"1,172.40"
Barwidgee,ALPINE,March,"1,359.60",167,"2,385.40",,,293,390,"3,175.10",144,"1,172.40"
Bogong,ALPINE,March,"1,359.60",167,"2,385.40",,,293,390,"3,175.10",144,"1,172.40"
Bright,ALPINE,March,"1,359.60",167,"2,385.40",,,293,390,"3,175.10",144,"1,172.40"
Buckland,ALPINE,March,"1,359.60",167,"2,385.40",,,293,390,"3,175.10",144,"1,172.40"
Buffalo River,ALPINE,March,"1,359.60",167,"2,385.40",,,293,390,"3,175.10",144,"1,172.40"
Coral Bank,ALPINE,March,"1,359.60",167,"2,385.40",,,293,390,"3,175.10",144,"1,172.40"
Dandongadale,ALPINE,March,"1,359.60",167,"2,385.40",,,293,390,"3,175.10",144,"1,172.40"
Dederang,ALPINE,March,"1,359.60",167,"2,385.40",,,293,390,"3,175.10",144,"1,172.40"
Dinner Plain,ALPINE,March,"1,359.60",167,"2,385.40",,,293,390,"3,175.10",144,"1,172.40"
Eurobin,ALPINE,March,"1,359.60",167,"2,385.40",,,293,390,"3,175.10",144,"1,172.40"
Falls Creek,ALPINE,March,"1,359.60",167,"2,385.40",,,293,390,"3,175.10",144,"1,172.40"
Freeburgh,ALPINE,March,"1,359.60",167,"2,385.40",,,293,390,"3,175.10",144,"1,172.40"
Gapsted,ALPINE,March,"1,359.60",167,"2,385.40",,,293,390,"3,175.10",144,"1,172.40"
Germantown,ALPINE,March,"1,359.60",167,"2,385.40",,,293,390,"3,175.10",144,"1,172.40"
Glen Creek,ALPINE,March,"1,359.60",167,"2,385.40",,,293,390,"3,175.10",144,"1,172.40"
Harrietville,ALPINE,March,"1,359.60",167,"2,385.40",,,293,390,"3,175.10",144,"1,172.40"
Havilah,ALPINE,March,"1,359.60",167,"2,385.40",,,293,390,"3,175.10",144,"1,172.40"
Hotham Heights,ALPINE,March,"1,359.60",167,"2,385.40",,,293,390,"3,175.10",144,"1,172.40"
Kancoona,ALPINE,March,"1,359.60",167,"2,385.40",,,293,390,"3,175.10",144,"1,172.40"
Kergunyah South,ALPINE,March,"1,359.60",167,"2,385.40",,,293,390,"3,175.10",144,"1,172.40"
Merriang,ALPINE,March,"1,359.60",167,"2,385.40",,,293,390,"3,175.10",144,"1,172.40"
Merriang South,ALPINE,March,"1,359.60",167,"2,385.40",,,293,390,"3,175.10",144,"1,172.40"
Mongans Bridge,ALPINE,March,"1,359.60",167,"2,385.40",,,293,390,"3,175.10",144,"1,172.40"
Mount Beauty,ALPINE,March,"1,359.60",167,"2,385.40",,,293,390,"3,175.10",144,"1,172.40"
Mount Buffalo,ALPINE,March,"1,359.60",167,"2,385.40",,,293,390,"3,175.10",144,"1,172.40"
Mudgegonga,ALPINE,March,"1,359.60",167,"2,385.40",,,293,390,"3,175.10",144,"1,172.40"
Myrtleford,ALPINE,March,"1,359.60",167,"2,385.40",,,293,390,"3,175.10",144,"1,172.40"
Nug Nug,ALPINE,March,"1,359.60",167,"2,385.40",,,293,390,"3,175.10",144,"1,172.40"
Ovens,ALPINE,March,"1,359.60",167,"2,385.40",,,293,390,"3,175.10",144,"1,172.40"
Porepunkah,ALPINE,March,"1,359.60",167,"2,385.40",,,293,390,"3,175.10",144,"1,172.40"
Rosewhite,ALPINE,March,"1,359.60",167,"2,385.40",,,293,390,"3,175.10",144,"1,172.40"
Running Creek,ALPINE,March,"1,359.60",167,"2,385.40",,,293,390,"3,175.10",144,"1,172.40"
Selwyn,ALPINE,March,"1,359.60",167,"2,385.40",,,293,390,"3,175.10",144,"1,172.40"
Smoko,ALPINE,March,"1,359.60",167,"2,385.40",,,293,390,"3,175.10",144,"1,172.40"
Tawonga,ALPINE,March,"1,359.60",167,"2,385.40",,,293,390,"3,175.10",144,"1,172.40"
Tawonga South,ALPINE,March,"1,359.60",167,"2,385.40",,,293,390,"3,175.10",144,"1,172.40"
Upper Gundowring,ALPINE,March,"1,359.60",167,"2,385.40",,,293,390,"3,175.10",144,"1,172.40"
Wandiligong,ALPINE,March,"1,359.60",167,"2,385.40",,,293,390,"3,175.10",144,"1,172.40"
Wonnangatta,ALPINE,March,"1,359.60",167,"2,385.40",,,293,390,"3,175.10",144,"1,172.40"
Abbotsford,YARRA,March,"3,635.00","3,052","10,467.80",,,"8,789","10,487","12,490.20","5,572","6,636.30"
Alphington,YARRA,March,"3,635.00","3,052","10,467.80",,,"8,789","10,487","12,490.20","5,572","6,636.30"
Burnley,YARRA,March,"3,635.00","3,052","10,467.80",,,"8,789","10,487","12,490.20","5,572","6,636.30"
Carlton North,YARRA,March,"3,635.00","3,052","10,467.80",,,"8,789","10,487","12,490.20","5,572","6,636.30"
Clifton Hill,YARRA,March,"3,635.00","3,052","10,467.80",,,"8,789","10,487","12,490.20","5,572","6,636.30"
Collingwood,YARRA,March,"3,635.00","3,052","10,467.80",,,"8,789","10,487","12,490.20","5,572","6,636.30"
Cremorne,YARRA,March,"3,635.00","3,052","10,467.80",,,"8,789","10,487","12,490.20","5,572","6,636.30"
Fairfield,YARRA,March,"3,635.00","3,052","10,467.80",,,"8,789","10,487","12,490.20","5,572","6,636.30"
Fitzroy,YARRA,March,"3,635.00","3,052","10,467.80",,,"8,789","10,487","12,490.20","5,572","6,636.30"
Fitzroy North,YARRA,March,"3,635.00","3,052","10,467.80",,,"8,789","10,487","12,490.20","5,572","6,636.30"
Princes Hill,YARRA,March,"3,635.00","3,052","10,467.80",,,"8,789","10,487","12,490.20","5,572","6,636.30"
Richmond,YARRA,March,"3,635.00","3,052","10,467.80",,,"8,789","10,487","12,490.20","5,572","6,636.30"
Aberfeldie,MOONEE VALLEY,March,"2,129.70","2,459","5,909.20",,,"6,823","8,267","7,159.80","4,218","3,653.10"
Airport West,MOONEE VALLEY,March,"2,129.70","2,459","5,909.20",,,"6,823","8,267","7,159.80","4,218","3,653.10"
Ascot Vale,MOONEE VALLEY,March,"2,129.70","2,459","5,909.20",,,"6,823","8,267","7,159.80","4,218","3,653.10"
Avondale Heights,MOONEE VALLEY,March,"2,129.70","2,459","5,909.20",,,"6,823","8,267","7,159.80","4,218","3,653.10"
Essendon,MOONEE VALLEY,March,"2,129.70","2,459","5,909.20",,,"6,823","8,267","7,159.80","4,218","3,653.10"
Essendon Fields,MOONEE VALLEY,March,"2,129.70","2,459","5,909.20",,,"6,823","8,267","7,159.80","4,218","3,653.10"
Essendon North,MOONEE VALLEY,March,"2,129.70","2,459","5,909.20",,,"6,823","8,267","7,159.80","4,218","3,653.10"
Essendon West,MOONEE VALLEY,March,"2,129.70","2,459","5,909.20",,,"6,823","8,267","7,159.80","4,218","3,653.10"
