,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,id,price,beds,baths,parking,title,address,propertyType,status,bond,Coordinates,Latitude,Longitude
0,0,52,52,52,52,52,52,52,52,52,52,52,52,52,52,16089721,430.0,3,2,2,$430 Per Week,"12 Blackwood Drive, Delahey VIC 3037",House,new,1868.0,"('-37.7127475', '144.7745364')",-37.7127475,144.7745364
1,1,89,89,89,89,89,89,89,89,89,89,89,89,89,89,16089605,730.0,4,2,2,$730,"17 Holly Green Road, Wheelers Hill VIC 3150",House,new,3172.0,"('-37.9032334', '145.1749731')",-37.9032334,145.1749731
2,2,141,141,141,141,141,141,141,141,141,141,141,141,141,141,16089428,1200.0,4,2,2,"$1,200.00","59 York Avenue, Ivanhoe East VIC 3079",House,new,5214.0,Just do it by hand,J,u
3,3,146,146,146,146,146,146,146,146,146,146,146,146,146,146,15034289,380.0,1,1,1,$380,"8/329 Orrong Road, Balaclava VIC 3183",Apartment / Unit / Flat,recentlyUpdated,1651.0,"('-37.8798169', '145.0068225')",-37.8798169,145.0068225
4,4,148,148,148,148,148,148,148,148,148,148,148,148,148,148,16089407,460.0,4,2,2,$460.00,"23 Verdale Drive, Alfredton VIC 3350",House,new,1993.0,"('-37.8287372', '145.2075599')",-37.8287372,145.2075599
5,5,153,153,153,153,153,153,153,153,153,153,153,153,153,153,16089385,440.0,1,1,1,$440,"909/91 Galada Street, Parkville VIC 3052",Apartment / Unit / Flat,new,1912.0,"('-37.77874335', '144.93918266586104')",-37.77874335,144.93918266586104
6,6,184,184,184,184,184,184,184,184,184,184,184,184,184,184,16089251,440.0,4,2,2,$440 per week,"9B Killeen Avenue, Ballarat North VIC 3350",House,new,1907.0,"('-37.5455392', '143.8677715')",-37.5455392,143.8677715
7,7,242,242,242,242,242,242,242,242,242,242,242,242,242,243,16089071,420.0,3,2,2,$420,"12 Wood Street, Mildura VIC 3500",House,new,1820.0,"('-34.3406613', '142.0455593')",-34.3406613,142.0455593
8,8,275,275,275,275,275,275,275,275,275,275,275,275,275,276,16088937,395.0,2,1,1,$395 Per Week,"5/28 Southernhay Street, Reservoir VIC 3073",Apartment / Unit / Flat,new,1716.0,Just do it by hand,J,u
9,9,319,319,319,319,319,319,319,319,319,319,319,319,319,320,16088756,420.0,3,2,1,$420,"7 Langer Road, Deanside VIC 3336",House,new,1820.0,"('-38.1915126', '144.3902258')",-38.1915126,144.3902258
10,10,321,321,321,321,321,321,321,321,321,321,321,321,321,322,16088753,390.0,3,1,1,$390 per week,"1 Eades Place, Craigieburn VIC 3064",House,new,1695.0,"('-37.8056297', '144.9507334')",-37.8056297,144.9507334
11,11,322,322,322,322,322,322,322,322,322,322,322,322,322,323,16088755,350.0,2,1,1,$350.00 per week,"5/173 Edward Street, Reservoir VIC 3073",Apartment / Unit / Flat,new,1521.0,"('-36.1559543', '146.0142426')",-36.1559543,146.0142426
12,12,323,323,323,323,323,323,323,323,323,323,323,323,323,324,16088754,350.0,2,1,1,$350.00 per week,"5/173 Edward Street, Reservoir VIC 3073",Apartment / Unit / Flat,new,1521.0,"('-36.1559543', '146.0142426')",-36.1559543,146.0142426
