,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,id,price,beds,baths,parking,title,address,propertyType,status,bond,Coordinates,Latitude,Longitude
0,0,0,0,0,0,0,0,0,0,0,0,0,14303265,330.0,1,1,0,$330,"409/757 Bourke, Docklands VIC 3008",Apartment / Unit / Flat,recentlyUpdated,1433.0,"(-37.818769, 144.9482517)",-37.818769,144.9482517
1,1,1,1,1,1,1,1,1,1,1,1,1,16089992,430.0,2,1,1,$430 pw,"38/60-68 Gladesville Boulevard, Patterson Lakes VIC 3197",Apartment / Unit / Flat,new,1868.0,"(-38.0639144, 145.1434954)",-38.0639144,145.1434954
2,2,2,2,2,2,2,2,2,2,2,2,2,16089977,420.0,3,1,1,$420,"8 Stoneman Turn, Caroline Springs VIC 3023",House,new,1820.0,"(-37.7442316, 144.7459806)",-37.7442316,144.7459806
3,3,3,3,3,3,3,3,3,3,3,3,3,16089972,640.0,1,1,1,$640 per week,"1510/1 Freshwater Place, Southbank VIC 3006",Apartment / Unit / Flat,new,2781.0,"(-37.8221111, 144.962312)",-37.8221111,144.962312
4,4,4,4,4,4,4,4,4,4,4,4,4,16089969,550.0,4,2,2,$550 PER WEEK,"6 Plenty Drive, Warragul VIC 3820",House,new,2390.0,"(-38.1451685, 145.91044)",-38.1451685,145.91044
5,5,5,5,5,5,5,5,5,5,5,5,5,16089960,360.0,1,1,1,$360,"10X/154 Elgar Road, Box Hill South VIC 3128",Apartment / Unit / Flat,new,1564.0,"(-37.8282748, 145.1128198)",-37.8282748,145.1128198
6,6,6,6,6,6,6,6,6,6,6,6,6,16089942,460.0,3,2,1,$460 PER WEEK,"5 Bishopthorpe Road, Williams Landing VIC 3027",House,new,1999.0,"(-37.8642585, 144.7517114)",-37.8642585,144.7517114
7,7,7,7,7,7,7,7,7,7,7,7,7,12805722,460.0,2,2,1,$460.00 per week,"9 Johanna Path, Lyndhurst VIC 3975",House,recentlyUpdated,1993.0,"(-38.0781807, 145.256341)",-38.0781807,145.256341
8,8,8,8,8,8,8,8,8,8,8,8,8,16089938,630.0,4,2,2,$630 weekly,"90 Shepherd Rd, Glen Waverley VIC 3150",House,new,2738.0,"(-37.8845791, 145.1881353)",-37.8845791,145.1881353
9,9,9,9,9,9,9,9,9,9,9,9,9,16089933,700.0,3,3,2,"$700pw/$3,042pcm","4/21 Rosebank Avenue, Ringwood North VIC 3134",Townhouse,new,3042.0,"(-37.7979406, 145.2303354)",-37.7979406,145.2303354
10,10,10,10,10,10,10,10,10,10,10,10,10,15478015,700.0,2,1,0,$700 per week,"15 Dally Street, Clifton Hill VIC 3068",House,recentlyUpdated,3042.0,"(-37.7922251, 144.9986679)",-37.7922251,144.9986679
11,11,11,11,11,11,11,11,11,11,11,11,11,16089930,500.0,4,2,2,$500,"20 Knightsford Avenue, Clyde VIC 3978",House,new,2173.0,"(-38.123561, 145.3418052)",-38.123561,145.3418052
12,12,12,12,12,12,12,12,12,12,12,12,12,16089923,360.0,3,1,0,$360 weekly,"2 Vega Court, Newcomb VIC 3219",House,new,1564.0,"(-38.1650238, 144.3986058)",-38.1650238,144.3986058
13,13,13,13,13,13,13,13,13,13,13,13,13,16089922,490.0,2,1,1,$490 weekly,"304/2-6 Duckett Street, Brunswick VIC 3056",Apartment / Unit / Flat,new,2129.0,"(-37.7632868, 144.9610279)",-37.7632868,144.9610279
14,14,14,14,14,14,14,14,14,14,14,14,14,16089919,500.0,2,2,1,"$500pw/$2,172pcm","2/21 Rosebank Avenue, Ringwood North VIC 3134",Townhouse,new,2172.0,"(-37.7979406, 145.2303354)",-37.7979406,145.2303354
15,15,15,15,15,15,15,15,15,15,15,15,15,16089911,360.0,3,1,2,$360 Per Week,"5 Roxburgh Road, Yallourn North VIC 3825",House,new,1560.0,"(-38.1586556, 146.3649791)",-38.1586556,146.3649791
16,16,16,16,16,16,16,16,16,16,16,16,16,16089894,780.0,4,3,2,"$780pw/$3,390pcm","3/21 Rosebank Avenue, Ringwood North VIC 3134",Townhouse,new,3390.0,"(-37.7979406, 145.2303354)",-37.7979406,145.2303354
17,17,17,17,17,17,17,17,17,17,17,17,17,16089889,450.0,1,1,1,$450,"113/392 St Georges Road, Fitzroy North VIC 3068",Apartment / Unit / Flat,new,1955.0,"(-37.7782874, 144.9883669)",-37.7782874,144.9883669
18,18,18,18,18,18,18,18,18,18,18,18,18,16089886,495.0,4,2,2,$495,"8 Cropping Street, Clyde North VIC 3978",House,new,2129.0,"(-38.1041518, 145.3854168)",-38.1041518,145.3854168
19,19,19,19,19,19,19,19,19,19,19,19,19,16089883,500.0,3,1,3,$500 weekly,"13 Longbrae Ave, Forest Hill VIC 3131",House,new,2173.0,"(-37.840875, 145.1814181)",-37.840875,145.1814181
20,20,20,20,20,20,20,20,20,20,20,20,20,15900569,865.0,4,3,2,$865,"7b Bevis Street, Bentleigh East VIC 3165",House,recentlyUpdated,3759.0,"(-37.9183749, 145.0531851)",-37.9183749,145.0531851
21,21,21,21,21,21,21,21,21,21,21,21,21,16089871,450.0,4,2,3,$450 weekly,"45 Ruthven Street, Sunbury VIC 3429",House,new,1955.0,"(-37.5713898, 144.7258407)",-37.5713898,144.7258407
22,22,22,22,22,22,22,22,22,22,22,22,22,16089864,550.0,2,1,1,$550,"17/384 Bluff Road, Sandringham VIC 3191",House,new,2390.0,"(-37.95919, 145.0195582)",-37.95919,145.0195582
23,23,23,23,23,23,23,23,23,23,23,23,23,16089863,280.0,4,1,0,$280.00,"190 LAKE RD, Stawell VIC 3380",House,new,1216.0,"(-37.0563307, 142.7664765)",-37.0563307,142.7664765
24,24,24,24,24,24,24,24,24,24,24,24,24,16089860,440.0,2,2,2,$440 per week,"3/84 Winfield Road, Balwyn North VIC 3104",Apartment / Unit / Flat,new,1912.0,"(-37.7903879, 145.1029675)",-37.7903879,145.1029675
25,25,25,25,25,25,25,25,25,25,25,25,25,16089857,465.0,1,1,1,$465,"503/75 Wellington Street, Collingwood VIC 3066",Apartment / Unit / Flat,new,2000.0,"(-37.8023321, 144.9868182)",-37.8023321,144.9868182
26,26,26,26,26,26,26,26,26,26,26,26,26,16089852,780.0,4,3,2,"$780pw/$3,390pcm","1/21 Rosebank Avenue, Ringwood North VIC 3134",Townhouse,new,3390.0,"(-37.7979406, 145.2303354)",-37.7979406,145.2303354
27,27,27,27,27,27,27,27,27,27,27,27,27,16089846,435.0,2,1,2,$435.00 per week,"11/316 Skye Road, Frankston VIC 3199",Apartment / Unit / Flat,new,1890.0,"(-38.1325236, 145.1404925)",-38.1325236,145.1404925
28,28,28,28,28,28,28,28,28,28,28,28,28,16089842,525.0,2,1,0,$525 Per Week,"1307/250 City Rd, Southbank VIC 3006",House,new,2100.0,"(-37.823816, 144.9627077)",-37.823816,144.9627077
29,29,29,29,29,29,29,29,29,29,29,29,29,16089841,330.0,3,1,1,$330,"1/139 Anderson Road, Albion VIC 3020",Apartment / Unit / Flat,new,1430.0,"(-37.7824392, 144.8277488)",-37.7824392,144.8277488
30,30,30,30,30,30,30,30,30,30,30,30,30,16089817,525.0,3,1,1,$525.00,"1/10 Elm Grove, McKinnon VIC 3204",Apartment / Unit / Flat,new,2281.0,"(-37.9103872, 145.0364586)",-37.9103872,145.0364586
31,31,31,31,31,31,31,31,31,31,31,31,31,16089812,470.0,3,2,2,$470,"21 Wattleview Road, Roxburgh Park VIC 3064",House,new,2037.0,"(-37.6168888, 144.9266411)",-37.6168888,144.9266411
32,32,32,32,32,32,32,32,32,32,32,32,32,16089810,460.0,3,2,2,$460 pw,"2/17 Nelson Road, Trafalgar VIC 3824",Townhouse,new,1999.0,"(-38.2035319, 146.1556274)",-38.2035319,146.1556274
33,33,33,33,33,33,33,33,33,33,33,33,33,16089809,600.0,2,2,1,$600 weekly,"705S/883 Collins Street, Docklands VIC 3008",Apartment / Unit / Flat,new,2607.0,"(-37.8211886, 144.943805)",-37.8211886,144.943805
34,34,34,34,34,34,34,34,34,34,34,34,34,16089784,480.0,4,1,2,$480 Per Week,"9 Western Way, Narre Warren VIC 3805",House,new,2086.0,"(-38.021238, 145.2973676)",-38.021238,145.2973676
35,35,35,35,35,35,35,35,35,35,35,35,35,16089782,650.0,4,2,2,$650 per calendar week,"10 Seattle Street, Balwyn North VIC 3104",House,new,2824.0,"(-37.7829444, 145.0881751)",-37.7829444,145.0881751
36,36,36,36,36,36,36,36,36,36,36,36,36,16089778,450.0,2,1,2,$450 per week,"10/163 Queen Street, Altona VIC 3018",Apartment / Unit / Flat,new,1955.0,"(-37.8711739, 144.819997)",-37.8711739,144.819997
37,37,37,37,37,37,37,37,37,37,37,37,37,16089775,360.0,3,1,2,$360 per week,"1 Clayton Park Drive, Canadian VIC 3350",House,new,1560.0,"(-37.5779376, 143.8803464)",-37.5779376,143.8803464
38,38,38,38,38,38,38,38,38,38,38,38,38,16089765,600.0,2,2,1,$600 pw,"302/2 Snedden Drive, Glen Waverley VIC 3150",Apartment / Unit / Flat,new,2607.0,"(-37.8779078, 145.1642872)",-37.8779078,145.1642872
39,39,39,39,39,39,39,39,39,39,39,39,39,14955995,430.0,3,1,1,$430,"64 Percy Street, Fawkner VIC 3060",House,recentlyUpdated,1865.0,"(-37.7082177, 144.9749824)",-37.7082177,144.9749824
40,40,40,40,40,40,40,40,40,40,40,40,40,16089755,315.0,3,1,0,$315,"58 Monash Street, Melton South VIC 3338",House,new,1369.0,"(-37.7126282, 144.5760059)",-37.7126282,144.5760059
41,41,41,41,41,41,41,41,41,41,41,41,41,16089752,450.0,2,1,2,$450,"38 Erasmus Street, Surrey Hills VIC 3127",House,new,1955.0,"(-37.8302693, 145.1100937)",-37.8302693,145.1100937
42,42,42,42,42,42,42,42,42,42,42,42,42,16089749,500.0,4,2,2,$500,"20 Pemberton Street, Mount Duneed VIC 3217",House,new,2173.0,"(-38.2306986, 144.3258742)",-38.2306986,144.3258742
43,43,43,43,43,43,43,43,43,43,43,43,43,15663033,350.0,3,2,0,$350,"55 WIRRAWAY STREET, Moe VIC 3825",House,recentlyUpdated,1516.0,"(-38.1795138, 146.2543556)",-38.1795138,146.2543556
